Season,Episode,Title,Year,Total votes,Average rating,z-score
17,18,The Wettest Stories Ever Told,2006,"1,304.00",6.70,-0.58
17,19,Girls Just Want to Have Sums,2006,"1,397.00",7.20,0.03
17,20,Regarding Margie,2006,"1,318.00",6.70,-0.58
17,21,The Monkey Suit,2006,"1,357.00",7.10,-0.09
17,22,Homer and Marge Turn a Couple Play,2006,"1,336.00",6.40,-0.94
18,1,"The Mook, the Chef, the Wife and Her Homer",2006,"1,630.00",7.60,0.51
18,2,Jazzy & The Pussycats,2006,"1,500.00",6.70,-0.58
18,3,"Please Homer, Don't Hammer 'Em",2006,"1,411.00",6.80,-0.46
18,4,Treehouse of Horror XVII,2006,"1,626.00",6.90,-0.34
18,5,G.I. (Annoyed Grunt),2006,"1,414.00",6.80,-0.46
18,6,Moe'N'a Lisa,2006,"1,368.00",6.70,-0.58
18,7,Ice Cream of Margie (with the Light Blue Hair),2006,"1,349.00",6.90,-0.34
18,8,The Haw-Hawed Couple,2006,"1,332.00",7.20,0.03
18,9,"Kill Gil, Vol. 1 & 2",2006,"1,409.00",6.30,-1.07
18,10,The Wife Aquatic,2007,"1,355.00",6.60,-0.70
18,11,Revenge Is a Dish Best Served Three Times,2007,"1,317.00",7.00,-0.22
18,12,Little Big Girl,2007,"1,426.00",6.80,-0.46
18,13,Springfield Up,2007,"1,391.00",7.30,0.15
18,14,Yokel Chords,2007,"1,374.00",6.90,-0.34
18,15,Rome-old and Juli-eh,2007,"1,308.00",6.30,-1.07
18,16,Homerazzi,2007,"1,338.00",7.10,-0.09
18,17,Marge Gamer,2007,"1,490.00",7.30,0.15
18,18,The Boys of Bummer,2007,"1,413.00",6.00,-1.43
18,19,Crook and Ladder,2007,"1,252.00",7.00,-0.22
18,20,Stop or My Dog Will Shoot,2007,"1,259.00",6.80,-0.46
18,21,24 Minutes,2007,"2,257.00",8.10,1.12
18,22,You Kent Always Say What You Want,2007,"1,432.00",7.20,0.03
19,1,He Loves to Fly and He D'ohs,2007,"1,445.00",6.60,-0.70
19,2,Homer of Seville,2007,"1,427.00",6.50,-0.82
19,3,Midnight Towboy,2007,"1,354.00",7.10,-0.09
19,4,I Don't Wanna Know Why the Caged Bird Sings,2007,"1,326.00",6.80,-0.46
19,5,Treehouse of Horror XVIII,2007,"1,491.00",6.90,-0.34
19,6,Little Orphan Millie,2007,"1,292.00",6.60,-0.70
19,7,Husbands and Knives,2007,"1,432.00",7.00,-0.22
19,8,Funeral for a Fiend,2007,"1,427.00",7.10,-0.09
